Entity,Code,Year,Labor force dependency ratio,Age dependency ratio,Labor force dependency ratio – higher participation
Austria,AUT,2015,100,100,100
Austria,AUT,2020,102.44153,105.2788,100.17769999999999
Austria,AUT,2025,108.73297,114.97355,102.21639
Austria,AUT,2030,116.12093000000002,128.01218,103.84344999999999
Austria,AUT,2035,119.02045000000001,138.02191,103.96152000000001
Austria,AUT,2040,121.3297,142.4206,101.98134
Austria,AUT,2045,124.34046000000001,143.59841,100.34196
Austria,AUT,2050,127.48517,150.90104,100.1199
Austria,AUT,2055,132.85671,160.20228,104.64175
Austria,AUT,2060,136.99681999999999,168.42414000000002,108.06885
Belgium,BEL,2015,100,100,100
Belgium,BEL,2020,102.6864,106.46517,97.16511
Belgium,BEL,2025,106.69504,113.20752999999999,95.14447
Belgium,BEL,2030,110.8185,120.37894,92.48772
Belgium,BEL,2035,113.79912999999999,126.5128,89.63902999999999
Belgium,BEL,2040,116.43133999999999,131.79932000000002,85.91668
Belgium,BEL,2045,117.87705,136.01236,82.530373
Belgium,BEL,2050,120.87576,140.9829,79.590034
Belgium,BEL,2055,122.57574,145.60873999999998,82.05405999999999
Belgium,BEL,2060,125.29827,149.43271000000001,82.66653000000001
Bulgaria,BGR,2015,100,100,100
Bulgaria,BGR,2020,101.36586000000001,111.94016,96.68203
Bulgaria,BGR,2025,105.64489999999999,118.47458,95.31177
Bulgaria,BGR,2030,109.5152,121.78583,90.72437
Bulgaria,BGR,2035,110.04379,122.25052000000001,86.8101
Bulgaria,BGR,2040,114.6768,128.7653,83.77613000000001
Bulgaria,BGR,2045,115.79827,138.99704,82.280225
Bulgaria,BGR,2050,120.81509,148.41083,81.23938000000001
Bulgaria,BGR,2055,127.17265,161.0213,84.545946
Bulgaria,BGR,2060,127.29142,164.40090999999998,85.81856
Croatia,HRV,2015,100,100,100
Croatia,HRV,2020,98.95161399999999,110.49012,95.39629
Croatia,HRV,2025,99.78386,119.51244999999999,91.24224
Croatia,HRV,2030,102.13102,127.26006999999998,87.10234
Croatia,HRV,2035,105.25899000000001,135.59757,84.42312
Croatia,HRV,2040,108.29084,144.88982,82.74226
Croatia,HRV,2045,112.51613,156.49450000000002,81.516504
Croatia,HRV,2050,120.55184999999999,171.26577,82.82159999999999
Croatia,HRV,2055,123.90007,181.36221,84.52826
Croatia,HRV,2060,128.03898,188.29662,86.47125
Cyprus,CYP,2015,100,100,100
Cyprus,CYP,2020,103.73724,112.6096,100.11224999999999
Cyprus,CYP,2025,109.00923,121.94861999999999,101.4531
Cyprus,CYP,2030,109.21692999999999,127.19865999999999,100.08471999999999
Cyprus,CYP,2035,115.07741,133.02417,96.70147999999999
Cyprus,CYP,2040,119.26951,140.65144999999998,94.858336
Cyprus,CYP,2045,123.0975,154.17463,97.020924
Cyprus,CYP,2050,137.68756,171.08786,100.63477
Cyprus,CYP,2055,148.36818,191.16815,112.5846
Cyprus,CYP,2060,148.15956,198.96656,117.20501999999999
Czechia,CZE,2015,100,100,100
Czechia,CZE,2020,99.99527,114.86282000000001,98.82538
Czechia,CZE,2025,103.18798,119.89905,99.32639599999999
Czechia,CZE,2030,104.44342,121.91304000000001,96.49907
Czechia,CZE,2035,108.0449,124.60278,94.19905
Czechia,CZE,2040,114.30905,135.41889,93.71453
Czechia,CZE,2045,120.36184999999999,156.68551,98.402923
Czechia,CZE,2050,127.93987,171.89031,101.13316
Czechia,CZE,2055,136.21749,182.5029,109.32710999999999
Czechia,CZE,2060,138.25324,184.67959000000002,111.44345
Denmark,DNK,2015,100,100,100
Denmark,DNK,2020,102.17052,104.20029,101.06584000000001
Denmark,DNK,2025,107.82271999999999,109.55364999999999,104.3124
Denmark,DNK,2030,113.7576,119.44652,108.18292000000001
Denmark,DNK,2035,120.66882000000001,128.51703999999998,111.33922000000001
Denmark,DNK,2040,124.97579999999999,131.88608,113.35287000000001
Denmark,DNK,2045,125.80719,131.87578,113.26096000000001
Denmark,DNK,2050,125.07629,129.86544,110.00687
Denmark,DNK,2055,125.91918,131.57151,110.78749
Denmark,DNK,2060,130.56915,135.78347,113.25519
EU-27 + UK,,2015,100,100,100
EU-27 + UK,,2020,99.901664,107.55494999999999,98.24822
EU-27 + UK,,2025,102.60701999999999,114.82265000000001,97.78116999999999
EU-27 + UK,,2030,106.31009,123.81219000000002,97.36632
EU-27 + UK,,2035,110.27130999999999,132.55029000000002,96.8585
EU-27 + UK,,2040,113.79626,140.08046000000002,96.29337
EU-27 + UK,,2045,116.89911,146.79376,95.64703
EU-27 + UK,,2050,119.62432999999999,153.16375,94.995886
EU-27 + UK,,2055,121.94741,158.37088,97.6783
EU-27 + UK,,2060,123.3423,161.6209,99.13746
Estonia,EST,2015,100,100,100
Estonia,EST,2020,100.56586,110.0701,101.11892
Estonia,EST,2025,105.3702,115.82599,102.23196999999999
Estonia,EST,2030,104.50775999999999,118.75356,98.789877
Estonia,EST,2035,106.51377,121.37226000000001,96.70927
Estonia,EST,2040,109.66552,125.60046,94.69059
Estonia,EST,2045,111.71037,133.13147999999998,96.02946999999999
Estonia,EST,2050,116.17817,144.18725999999998,99.263465
Estonia,EST,2055,120.42336,154.03562,104.49599
Estonia,EST,2060,124.50632999999999,157.13286,106.79061000000002
Finland,FIN,2015,100,100,100
Finland,FIN,2020,104.79075,111.23213999999999,101.89067999999999
Finland,FIN,2025,111.04981000000001,120.76571,104.66015
Finland,FIN,2030,114.11690000000002,128.08416,105.25458
Finland,FIN,2035,116.19097000000001,132.03406,103.76666999999999
Finland,FIN,2040,117.95416999999999,129.6962,99.03053
Finland,FIN,2045,117.27418999999999,130.46515,98.070824
Finland,FIN,2050,117.68190000000001,133.17966,96.54873
Finland,FIN,2055,120.57446,137.3391,97.790277
Finland,FIN,2060,123.22247,142.8607,99.77153
France,FRA,2015,100,100,100
France,FRA,2020,102.57162,107.16926,99.40131
France,FRA,2025,104.73078,112.57793000000001,97.53765
France,FRA,2030,108.30958,120.21492,96.54017999999999
France,FRA,2035,111.38983,126.59072,94.00608
France,FRA,2040,113.15732999999999,133.79028,92.47069
France,FRA,2045,114.43262000000001,135.48452,88.70618
France,FRA,2050,114.90761,138.1486,85.874784
France,FRA,2055,114.85538,138.48599,86.46807
France,FRA,2060,114.99101,138.90884,85.04292
Germany,DEU,2015,100,100,100
Germany,DEU,2020,101.28703999999999,106.65811000000001,100.41171
Germany,DEU,2025,107.51748,116.96175,104.01455
Germany,DEU,2030,116.12064,132.13332,108.83259000000001
Germany,DEU,2035,123.53381999999999,144.77342,112.3303
Germany,DEU,2040,127.26753,146.41863,111.93116
Germany,DEU,2045,129.42135,145.68033,110.34398999999999
Germany,DEU,2050,131.60135,148.69634,108.57753000000001
Germany,DEU,2055,134.35342,154.70495,111.36464
Germany,DEU,2060,137.27927,159.96176,114.42047
Greece,GRC,2015,100,100,100
Greece,GRC,2020,106.24504999999999,106.60624999999999,99.92491
Greece,GRC,2025,111.98545,113.08990000000001,97.53544
Greece,GRC,2030,120.02333,122.19207,95.166814
Greece,GRC,2035,130.08877999999999,137.35038,94.64713
Greece,GRC,2040,142.13783,155.80741,95.77535999999999
Greece,GRC,2045,153.59349,177.51463999999999,97.9973
Greece,GRC,2050,161.01931000000002,196.4563,99.11474
Greece,GRC,2055,164.69619,203.26292999999998,102.9193
Greece,GRC,2060,164.95626000000001,201.71640000000002,102.60925
Hungary,HUN,2015,100,100,100
Hungary,HUN,2020,92.60562,110.41532999999998,93.10879
Hungary,HUN,2025,90.87626,116.38732,88.9273
Hungary,HUN,2030,89.97865,117.64802,83.28084
Hungary,HUN,2035,91.96600000000001,122.47839,79.54514999999999
Hungary,HUN,2040,97.603947,130.55223,78.27665999999999
Hungary,HUN,2045,101.27113999999999,144.96695,76.8847
Hungary,HUN,2050,104.45236,149.96617,75.031346
Hungary,HUN,2055,109.45595999999999,156.65219,78.29447
Hungary,HUN,2060,112.35090000000001,164.59129,81.92246
Ireland,IRL,2015,100,100,100
Ireland,IRL,2020,100.79287,105.68105999999999,96.832275
Ireland,IRL,2025,101.80260999999999,107.24298000000002,92.55044
Ireland,IRL,2030,101.6534,110.81648,87.775284
Ireland,IRL,2035,103.48067,115.86009,84.63762
Ireland,IRL,2040,108.32065,124.87141,85.168916
Ireland,IRL,2045,115.21018000000001,139.40392,87.057346
Ireland,IRL,2050,122.39679000000001,153.77038000000002,88.99691
Ireland,IRL,2055,127.611,160.24115,93.20438
Ireland,IRL,2060,127.31334000000001,160.60115,94.45719
Italy,ITA,2015,100,100,100
Italy,ITA,2020,94.422615,104.96638,92.34249
Italy,ITA,2025,92.228705,110.32856,87.36861999999999
Italy,ITA,2030,93.44962,120.98272999999999,84.74785
Italy,ITA,2035,96.14154,133.90328,83.180934
Italy,ITA,2040,98.908824,147.96281,82.61311
Italy,ITA,2045,101.1583,158.25019,81.32158000000001
Italy,ITA,2050,101.88289999999999,163.06871,79.08381
Italy,ITA,2055,101.97332999999999,165.29708,80.11263600000001
Italy,ITA,2060,100.73205,165.95886,80.07184000000001
Latvia,LVA,2015,100,100,100
Latvia,LVA,2020,101.63801,108.68603999999999,102.10060000000001
Latvia,LVA,2025,102.56276,115.0758,100.88326
Latvia,LVA,2030,104.22429,120.23425,101.69792
Latvia,LVA,2035,104.42739,123.8639,98.84206
Latvia,LVA,2040,106.55962000000001,131.79345,97.92079
Latvia,LVA,2045,109.92709,141.94047,96.97727
Latvia,LVA,2050,118.8854,153.01454999999999,98.224604
Latvia,LVA,2055,125.35275999999999,170.58393,103.04356999999999
Latvia,LVA,2060,132.77683,181.28986,107.17165
Lithuania,LTU,2015,100,100,100
Lithuania,LTU,2020,97.765845,110.68203000000001,100.318
Lithuania,LTU,2025,101.84013,125.13164,102.28242999999999
Lithuania,LTU,2030,112.08023,141.49603,107.00505
Lithuania,LTU,2035,118.26454,151.4052,109.95380999999999
Lithuania,LTU,2040,124.22917,162.11948,109.40436
Lithuania,LTU,2045,124.06634999999999,165.63877,106.91383
Lithuania,LTU,2050,127.97152,172.40411,107.17773
Lithuania,LTU,2055,131.10094,178.24115,109.27683999999999
Lithuania,LTU,2060,133.81506000000002,183.56736,111.53783
Luxembourg,LUX,2015,100,100,100
Luxembourg,LUX,2020,93.16098699999999,106.15584,96.46076599999999
Luxembourg,LUX,2025,95.361304,117.38017,96.07695000000001
Luxembourg,LUX,2030,95.6045,124.7898,96.448654
